pageid,name,coords,region,subregion,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required,latitude,longitude,technical_class,water_rating,time_commitment,risk_rating
566,Sams Mesa Box Canyon,"38° 12' 34.92"" N, 110° 16' 31.44"" W",Southeast Utah,Hans Flat Road,2.5,3A III (<i>v3a1 III</i>),3A III,,,,5,50 ft,50,Any;Winter,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.2097,-110.2754,3,A,III,
530,Lucky Charms,"38° 1' 31.44"" N, 110° 33' 31.32"" W",Southeast Utah,The Irish,2.1,3A I (<i>v3a1 I</i>),3A I,1,2,,0,,,Any,TRUE,TRUE,TRUE,TRUE,,,,Passenger,FALSE,38.0254,-110.5587,3,A,I,
529,Sand Slide Slots (Lower),"38° 21' 18.72"" N, 110° 33' 56.88"" W",Southeast Utah,Sand Slide Slots,3,3A III R (v1a1 IV),3A III R,3,6,,0,,,Any;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,38.3552,-110.5658,3,A,III,R
494,Horse Tanks Canyon,"37° 49' 34.32"" N, 110° 16' 12.00"" W",Southeast Utah,Cedar Mesa,2,3B III (<i>v3a2 III</i>),3B III,4,6,,4,66 ft,66,Late Spring through Early Fall,TRUE,FALSE,TRUE,FALSE,,30 minutes,30,High Clearance,TRUE,37.8262,-110.27,3,B,III,
296,Short End of the Stick,"38° 1' 43.68"" N, 110° 32' 49.56"" W",Southeast Utah,The Irish,2.7,2A I (<i>v1a1 I</i>),2A I,1.5,2.5,2,0,20 ft,20,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.0288,-110.5471,2,A,I,
997,Bull Pasture Canyon,"38° 16' 1.20"" N, 110° 25' 21.00"" W",Southeast Utah,Ekker Ranch Road,2.7,3A <i>III</i> (<i>v3a1 III</i>),3A <i>III</i>,4,6,,2,83 ft,83,Spring;Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.267,-110.4225,3,A,III,
19727,Fiddler Cove Canyon,"38° 2' 30.84"" N, 110° 22' 21.36"" W",Southeast Utah,North Wash,4.3,2A V (<i>v1a1 V</i>),2A V,48,72,,,0 ft,0,Spring and Fall; winter,TRUE,FALSE,TRUE,TRUE,,,,4WD - High Clearance,TRUE,38.0419,-110.3726,2,A,V,
10855,Almost Mindbender,"38° 22' 29.64"" N, 110° 24' 46.44"" W",Southeast Utah,Burr Pass,3,3B II PG (<i>v4a2 II</i>),3B II PG,5,8,,5,90 ft,90,Spring or Fall,TRUE,FALSE,TRUE,FALSE,,0.5 minutes,0.5,4WD - High Clearance,TRUE,38.3749,-110.4129,3,B,II,PG
30475,Hole Canyon,"38° 18' 41.76"" N, 110° 28' 8.04"" W",Southeast Utah,Ekker Ranch Road,3,3A I R (<i>v5a1 I</i>),3A I R,,,2,1,30 ft,30,Autumn-Spring,FALSE,FALSE,FALSE,FALSE,,0 minutes,0,Passenger,FALSE,38.3116,-110.4689,3,A,I,R
959,Maidenwater Canyon (Lower),"37° 53' 53.52"" N, 110° 33' 42.48"" W",Southeast Utah,Trachyte Area,3.5,2B III (<i>v1a2 III</i>),2B III,4,6,,,0 ft,0,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,37.8982,-110.5618,2,B,III,
