pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
68171,Wingate Wander,"38° 10' 31.44"" N, 111° 10' 27.12"" W",Fruita District,3.0,4B IV (<i>v4a2 IV</i>),4B IV,,,,3,190 ft,190,FALL,False,False,True,False,,0 minutes,0.0,4WD,True
1122,Halls Creek Narrows,"37° 40' 59.16"" N, 110° 54' 34.92"" W",Waterpocket Fold,4.0,2B III (<i>v1a2 III</i>),2B III,6.0,10.0,18.4,,0 ft,0,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
25034,Headquarters Canyon,"37° 49' 41.16"" N, 110° 59' 22.92"" W",Waterpocket Fold,4.0,1A I (<i>v1a1 I</i>),1A I,2.0,3.0,,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,,False
85511,Wife 6,"38° 16' 50.52"" N, 111° 14' 23.28"" W",Cohab Canyon,2.0,3A I (<i>v3a1 I</i>),3A I,,,,3,80 ft,80,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
53797,Muley Monkey,"37° 56' 26.16"" N, 111° 5' 1.32"" W",Waterpocket Fold,1.5,3A II (<i>v3a1 II</i>),3A II,,,,6,30 ft,30,,,,,,,,,,False
85251,East Fork of Red Canyon (Sunglow),"38° 20' 42.36"" N, 111° 30' 34.56"" W",Bicknell,2.0,3A II (<i>v3a1 II</i>),3A II,,,,3,50 ft,50,Mar-Nov,True,True,True,False,,0 minutes,0.0,Passenger,False
99923,Golden Throne Canyon,"38° 12' 57.60"" N, 111° 10' 44.76"" W",Fruita District,2.0,3A II (<i>v3a1 II</i>),3A II,,,,,,,,,,,,,,,,False
53796,Muley Shimmy,"37° 55' 40.80"" N, 111° 4' 45.48"" W",Waterpocket Fold,2.0,4A III R (<i>v5a1 III</i>),4A III R,,,,6,150 ft,150,,,,,,,,,,False
85500,Wife 2,"38° 16' 45.48"" N, 111° 14' 35.88"" W",Cohab Canyon,2.0,3A I (<i>v3a1 I</i>),3A I,,,,2,100 ft,100,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
85508,The Betrothed,"38° 16' 56.64"" N, 111° 14' 16.44"" W",Cohab Canyon,1.0,2A I (<i>v1a1 I</i>),2A I,,,,0,0 ft,0,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
85307,A-Door-Able Canyon,"38° 20' 21.48"" N, 111° 16' 39.36"" W",Fruita District,0.0,3A III (<i>v3a1 III</i>),3A III,,,,3,100 ft,100,,,,,,,0 minutes,0.0,,False
85309,Bless Canyon,"37° 46' 39.00"" N, 111° 0' 16.20"" W",Waterpocket Fold,0.0,3B IV (<i>v3a2 IV</i>),3B IV,,,,4,240 ft,240,,,,,,,1 minutes,1.0,Passenger,False
59101,Hang 'em High,"37° 38' 28.32"" N, 110° 55' 13.80"" W",Waterpocket Fold,0.0,,,,,,,,,,,,,,,,,,False
59100,Hophead,"37° 38' 52.08"" N, 110° 55' 7.32"" W",Waterpocket Fold,0.0,,,,,,,,,,,,,,,,,,False
85292,Lower Burro Wash,"38° 10' 56.28"" N, 111° 7' 26.40"" W",Notam,0.0,2A II (<i>v1a1 II</i>),2A II,,,,0,0 ft,0,,,,,,,0 minutes,0.0,Passenger,False
85296,Lower Cottonwood Wash,"38° 9' 35.64"" N, 111° 6' 47.16"" W",Notam,0.0,2B II (<i>v1a2 II</i>),2B II,,,,,0 ft,0,,,,,,,0 minutes,0.0,Passenger,False
59040,Not Too Tight,"37° 55' 48.00"" N, 111° 4' 51.60"" W",Waterpocket Fold,0.0,3A I (<i>v3a1 I</i>),3A I,,,,,,,,,,,,,,,,False
59102,"Okay, Let's Take It From The Top","37° 38' 18.96"" N, 110° 55' 30.36"" W",Waterpocket Fold,0.0,,,,,,,,,,,,,,,,,,False
85310,Reef Ramble,"38° 13' 44.04"" N, 111° 11' 37.68"" W",Fruita District,0.0,3A IV R (<i>v5a1 IV</i>),3A IV R,,,,5,110 ft,110,,,,,,,1 minutes,1.0,Passenger,False
85306,Stone Dagger Canyon,"38° 21' 14.04"" N, 111° 16' 15.60"" W",Fruita District,0.0,3A IV (<i>v3a1 IV</i>),3A IV,,,,4,140 ft,140,,,,,,,0 minutes,0.0,Passenger,False
85308,Two-Can Canyon,"38° 3' 46.80"" N, 111° 10' 22.08"" W",Notam,0.0,3A III (<i>v3a1 III</i>),3A III,,,,10,150 ft,150,,,,,,,0 minutes,0.0,4WD,True
59039,Y(et)A(nother)S(skinny)S(queeze),"37° 55' 53.40"" N, 111° 4' 52.32"" W",Waterpocket Fold,0.0,3A I R (<i>v5a1 I</i>),3A I R,,,,,,,,,,,,,,,,False
