pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
7846,Golf Canyon,"36° 54' 15.48"" N, 113° 48' 36.72"" W",Virgin River Gorge,2.9,3A IV (<i>v3a1 IV</i>),3A IV,7.0,10.0,6.4,11,110 ft,110,Oct-Apr,False,False,False,False,,0 minutes,0.0,Passenger,False
352,Jolley Gulch,"37° 15' 6.12"" N, 112° 52' 37.56"" W",Zion East Side,2.3,3A I (<i>v3a1 I</i>),3A I,2.0,5.0,4.3,3,160 ft,160,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
1104,Spring Creek,"37° 30' 33.48"" N, 113° 9' 56.52"" W",Kolob Area,2.5,1A (<i>v1a1</i>),1A,,,,,0 ft,0,,,,,,,,,,False
363,Refrigerator Canyon (Lower),"37° 16' 9.84"" N, 112° 57' 0.72"" W",Zion Main Canyon,2.3,3A II (<i>v3a1 II</i>),3A II,3.0,6.0,1.9,3,190 ft,190,Spring;Summer;Fall;Winter,True,True,True,True,,0 minutes,0.0,Passenger,False
347,Hidden Canyon,"37° 14' 45.24"" N, 112° 55' 57.72"" W",Zion East Side,2.3,3B III (<i>v3a2 III</i>),3B III,5.0,9.5,5.8,7,100 ft,100,Any,True,True,True,True,,,,Passenger,False
1086,Deep Creek (Zion National Park),"37° 23' 6.36"" N, 112° 56' 16.80"" W",Zion East Side,4.0,1C IV (<i>v1a4 IV</i>),1C IV,,,,,0 ft,0,,,,,,,,,,False
72541,Rattlesnake Creek (Dixie National Forest),"37° 38' 28.68"" N, 112° 54' 29.52"" W",Dixie National Forest,4.0,3A III (<i>v3a1 III</i>),3A III,5.0,8.0,,1,65 ft,65,,,,,,,0.5 minutes,0.5,Passenger,False
1107,Taylor Creek (North Fork),"37° 27' 52.20"" N, 113° 9' 49.32"" W",Kolob Area,3.0,,,2.0,4.0,5.5,,,,Any,True,True,True,True,,,,,False
241,Hidden Star Canyon,"37° 13' 33.96"" N, 113° 28' 53.76"" W",St. George,2.0,4B I (<i>v4a2 I</i>),4B I,1.5,2.5,1.3,2,200 ft,200,Avoid summer,False,True,False,False,,0 minutes,0.0,Passenger,False
356,Mighty Mouse Canyon,"37° 22' 21.36"" N, 112° 53' 21.84"" W",Zion East Side,2.0,3A II (<i>v3a1 II</i>),3A II,4.0,6.0,7.6,4,80 ft,80,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,,False
366,Shelf Canyon,"37° 13' 17.04"" N, 112° 56' 26.52"" W",Zion East Side,2.0,3A I (<i>v3a1 I</i>),3A I,1.0,2.0,2.0,1,200 ft,200,any,True,True,True,True,,0 minutes,0.0,Passenger,False
597,Corral Hollow,"37° 20' 6.36"" N, 112° 58' 50.16"" W",Zion Main Canyon,2.0,3A IV (<i>v3a1 IV</i>),3A IV,8.0,12.0,,,200 ft,200,,,,,,,,,,False
1108,Taylor Creek (Middle Fork),"37° 27' 28.44"" N, 113° 9' 45.36"" W",Kolob Area,3.0,,,,,,,,,,,,,,,,,,False
599,Grotto Canyon (Zion National Park),"37° 15' 3.96"" N, 112° 56' 36.60"" W",Zion East Side,1.5,3B III (<i>v3a2 III</i>),3B III,4.0,8.0,5.8,9,260 ft,260,,,,,,,1 minutes,1.0,,False
348,Hook Canyon,"37° 16' 20.28"" N, 112° 57' 37.08"" W",Zion Main Canyon,1.5,3A IV (<i>v3a1 IV</i>),3A IV,2.0,13.0,9.7,2,150 ft,150,,,,,,,0 minutes,0.0,Passenger,False
1093,Little Blue Canyon,"37° 22' 9.84"" N, 113° 1' 49.80"" W",Zion West Side,2.5,,,,,,,,,,,,,,,,,,False
9791,Frog Hollow,"37° 8' 15.72"" N, 113° 17' 55.32"" W",St. George,1.0,3A III (<i>v3a1 III</i>),3A III,6.0,10.0,4.0,6,215 ft,215,"Fall, winter & spring",True,False,True,True,,0.5 minutes,0.5,Passenger,False
1087,Goose Creek,"37° 21' 3.24"" N, 112° 58' 27.12"" W",Zion Main Canyon,3.5,4A IV (<i>v4a1 IV</i>),4A IV,,,,,,,,,,,,,,,,False
364,Refrigerator Canyon (Upper),"37° 16' 53.40"" N, 112° 57' 11.16"" W",Zion Main Canyon,1.0,3A II (<i>v3a1 II</i>),3A II,3.0,5.0,4.5,2,50 ft,50,,,,,,,0 minutes,0.0,Passenger,False
100682,Quail Creek Canyon,"37° 13' 57.72"" N, 113° 25' 5.52"" W",St. George,3.0,3A I (<i>v3a1 I</i>),3A I,,,,1,50 ft,50,Oct-April,False,False,False,False,,0 minutes,0.0,Passenger,False
53807,Kanberraville,"37° 32' 45.24"" N, 113° 8' 31.56"" W",Kolob Area,2.6,3A II (<i>v3a1 II</i>),3A II,,,,6,130 ft,130,summer,False,True,False,False,,,,,False
26322,Pigeon Poop,"37° 15' 10.00"" N, 113° 22' 4.00"" W",St. George,2.5,,,,,,,,,Oct-April,False,False,False,False,,,,,False
87588,Port of Entry Canyon,"37° 5' 20.76"" N, 112° 31' 59.88"" W",Kanab,2.0,3A I (<i>v3a1 I</i>),3A I,,,1.75,5,120 ft,120,Autumn to Spring,True,False,True,False,,0 minutes,0.0,Passenger,False
91591,The Triplet,"37° 13' 4.44"" N, 112° 54' 51.12"" W",Zion East Side,3.0,4A I (v3a1 II),4A I,,,0.5,5,60 ft,60,All Seasons,False,False,False,False,,0 minutes,0.0,Passenger,False
18770,Spring Hollow Box Canyon,"37° 18' 36.00"" N, 112° 36' 0.00"" W",Mt Carmel,1.8,1 (<i>v1</i>),1,,,1.0,,0 ft,0,BEST in Apr;May;Sep;Oct,False,False,False,False,,,,,False
25735,Clear Creek (Zion National Park),"37° 13' 0.48"" N, 112° 55' 19.56"" W",Zion East Side,2.3,1A (<i>v1a1</i>),1A,,,,,0 ft,0,,,,,,,,,,False
34309,South Guardian Angel Canyon,"37° 18' 58.68"" N, 113° 2' 58.20"" W",Zion West Side,4.0,4A IV (<i>v4a1 IV</i>),4A IV,17.0,20.0,8.8,11,305 ft,305,,,,,,,,,,False
357,Mis-Me Canyon,"37° 17' 49.56"" N, 112° 55' 0.48"" W",Zion East Side,2.0,3B III (<i>v3a2 III</i>),3B III,7.0,10.0,10.6,3,60 ft,60,,,,,,,0 minutes,0.0,Passenger,False
26321,Gully of Great White Throne,"37° 15' 53.64"" N, 112° 56' 20.04"" W",Zion Main Canyon,2.0,3A III (<i>v3a1 III</i>),3A III,4.0,6.0,1.8,8,195 ft,195,,,,,,,,,,False
26323,Shear Canyon,"37° 14' 47.40"" N, 113° 25' 9.84"" W",St. George,2.0,3A II (<i>v3a1 II</i>),3A II,,,,,,,Oct-April,False,False,False,False,,,,,False
96491,Fallen Angel (Loop),"37° 18' 32.76"" N, 113° 3' 44.28"" W",Zion West Side,3.0,3A III (<i>v3a1 III</i>),3A III,,,,2,105 ft,105,"Best from fall through spring, avoid summer",True,True,True,False,,0 minutes,0.0,Passenger,False
82949,The Subway (Bottom Up),"37° 17' 5.28"" N, 113° 5' 44.52"" W",Zion West Side,3.0,1C III (<i>v1a4 III</i>),1C III,,,,,0 ft,0,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
42945,Pussycat,"37° 14' 31.92"" N, 113° 25' 45.84"" W",St. George,1.7,3A II (<i>v3a1 II</i>),3A II,,,,4,80 ft,80,Oct-April,False,False,False,False,,0 minutes,0.0,,False
87579,Nizhoni Canyon,"37° 5' 38.04"" N, 112° 32' 11.04"" W",Kanab,1.0,3A II (<i>v3a1</i> I),3A II,,,,3,180 ft,180,,,,,,,0 minutes,0.0,Passenger,False
101754,Cottonwood Creek (West Tributary),"37° 14' 11.40"" N, 113° 30' 2.52"" W",St. George,2.0,3B I (<i>v3a2 I</i>),3B I,1.8,,1.79,5,160 ft,160,Spring to Fall,True,False,True,False,,0 minutes,0.0,4WD - High Clearance,True
42415,Esplin Gulch,"37° 19' 52.68"" N, 112° 53' 50.64"" W",Zion East Side,2.0,4A III (<i>v4a1 III</i>),4A III,9.0,10.0,10.8,3,215 ft,215,,,,,,,,,,False
1094,Not Mystery,"37° 16' 58.44"" N, 112° 56' 4.92"" W",Zion East Side,2.0,,,,,,,,,,,,,,,,,,False
1105,Stevenson Canyon,"37° 18' 2.16"" N, 113° 0' 38.88"" W",Zion West Side,2.0,,,,,,,,,,,,,,,,,,False
42977,Bulloch Canyon (Paper Bag Fork),"37° 20' 26.16"" N, 112° 56' 8.52"" W",Zion East Side,1.0,3A IV (<i>v3a1 IV</i>),3A IV,11.0,13.0,13.6,7,70 ft,70,,,,,,,,,,False
1111,Wildcat Canyon (Zion National Park),"37° 18' 25.56"" N, 113° 0' 20.16"" W",Zion West Side,1.0,,,,,,,,,,,,,,,,,,False
39437,Pugh Canyon,"37° 3' 19.80"" N, 112° 28' 32.88"" W",Kanab,0.0,,,,,,,,,,,,,,,,,,False
49518,Rock Canyon (St. George),"36° 58' 26.04"" N, 113° 16' 16.32"" W",St. George,0.0,3B IV (<i>v3a2 IV</i>),3B IV,,,,,,,Oct-April,False,False,False,False,,,,,False
40970,Snotto Canyon,"37° 14' 52.08"" N, 112° 56' 40.92"" W",Zion East Side,0.0,4A III (<i>v4a1 III</i>),4A III,,,6.2,8,415 ft,415,,,,,,,,,,False
1106,The Stinger,"37° 13' 31.08"" N, 112° 59' 24.72"" W",Zion Main Canyon,0.0,,,,,,,,,,,,,,,,,,False
